embed_dim,num_heads,ff_dim,learning_rate,batch_size,epochs,final_loss
64,2,128,0.001,64,5,5.169888436780869
64,2,128,0.0005,64,5,5.2514
64,2,256,0.001,64,5,5.1474
64,2,256,0.0005,64,5,5.2437
64,4,128,0.001,64,5,5.1324
64,4,128,0.0005,64,5,5.2412
64,4,256,0.001,64,5,5.1223
64,4,256,0.0005,64,5,5.2088
128,2,128,0.001,64,5,5.0387
128,2,128,0.0005,64,5,5.0895
128,2,256,0.001,64,5,5.0263
128,2,256,0.0005,64,5,5.0478
128,4,128,0.001,64,5,5.0115
128,4,128,0.0005,64,5,5.0421
128,4,256,0.001,64,5,5.0215
128,4,256,0.0005,64,5,5.0053
